country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,9.5,,,,,8.5,,,,,,,,,10.5,9.96,9.32,8.98,10.3,11.9,10.8,10.9,8.6,8.66,9.29,10.5,10.2
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86,,,,,7.19,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,10.7,12.9,,,,,,,,,,14.9,15.4,14.5,11.9,11.7,10.2,7.94,5.93,4.35,3.78,4.55,4.82,4.96,4.59,4.56,5.02,7.6,15.1,17.1,17.7,17.7,14.8,12.7,10.7,9.02,7.06
Israel,,,,,,,,,,,,,,2.38,2.4,,2.9,,2.72,2.27,3.87,4.14,4.16,3.77,4.91,5.91,,,,,11,11.3,12,11.3,8.18,7.33,7.53,8.88,10.4,10.9,11.1,11.6,13,13.2,12.4,11.1,10.4,9.01,7.57,9.84,8.94,7.3,6.75,6.18,5.87,5.13,4.67,4.12
Italy,,,,,,,,,,,3.74,3.78,4.56,4.18,3.6,3.78,4.22,,4.7,4.88,4.76,,6.05,5.62,6.36,6.3,7.05,7.46,7.35,7.35,,,,,,,,,9.43,8.84,8.32,7.4,7.02,6.87,6.27,6.17,5.42,4.88,5.5,6.72,7.5,7.52,9.8,11.5,11.9,11.3,10.9,10.3
Jamaica,,,,,,,,,,,,,,,,11.2,12.9,,13.7,,18.4,13.8,15.6,,,18.7,,,13.2,,9.31,9.51,9.4,10.9,9.59,10.8,9.97,10.4,10,10,10.2,10.2,9.85,8.08,8.14,7.64,7.01,6.09,7.3,8.52,9.21,9.6,10.5,11.2,10.1,9.9,9.6,8.45
Japan,1.6,1.4,1.2,1.2,1.1,1.1,1.3,1.2,1.2,1.2,1.2,1.3,1.5,1.3,1.4,2,2.2,2.1,2.4,2.2,2,2.3,2.4,2.7,2.7,2.6,2.7,2.8,2.5,2.2,2,2,2.1,2.4,2.8,3.1,3.4,3.4,4.2,4.8,4.9,5.2,5.5,5.5,4.9,4.6,4.3,3.9,4.1,5.3,5.4,4.8,4.6,4.3,3.7,3.6,3.3,3
Jordan,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,12.4,13.6,,,,,,18.1,,12.1,12,,,,12.3,13.7,14,13.4,,12.8,11.9,10.3,10.1,10.3,10.4,11,10.4,10.6,10.1,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1.6,2.9,2.4,2.6,,,,,1.4,1.1,0.8,0.5,0.4,0.4,5.59,,,,,,4.27,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,,,,6.7,,,,,,,,,,9.9,,,,,,,,
